"","bams","plate","code","lane","batch"
"138","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.005.lane8/sol1c.005.lane8.sorted.unique.bam","plate2","sol1c.005.lane8","lane8","plate2.lane8"
"139","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.006.lane1/sol1c.006.lane1.sorted.unique.bam","plate2","sol1c.006.lane1","lane1","plate2.lane1"
"140","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.006.lane2/sol1c.006.lane2.sorted.unique.bam","plate2","sol1c.006.lane2","lane2","plate2.lane2"
"141","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.006.lane3/sol1c.006.lane3.sorted.unique.bam","plate2","sol1c.006.lane3","lane3","plate2.lane3"
"142","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.006.lane5/sol1c.006.lane5.sorted.unique.bam","plate2","sol1c.006.lane5","lane5","plate2.lane5"
"143","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.006.lane6/sol1c.006.lane6.sorted.unique.bam","plate2","sol1c.006.lane6","lane6","plate2.lane6"
"144","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.006.lane7/sol1c.006.lane7.sorted.unique.bam","plate2","sol1c.006.lane7","lane7","plate2.lane7"
"145","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.006.lane8/sol1c.006.lane8.sorted.unique.bam","plate2","sol1c.006.lane8","lane8","plate2.lane8"
"146","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.007.lane1/sol1c.007.lane1.sorted.unique.bam","plate2","sol1c.007.lane1","lane1","plate2.lane1"
"147","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.007.lane2/sol1c.007.lane2.sorted.unique.bam","plate2","sol1c.007.lane2","lane2","plate2.lane2"
"148","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.007.lane3/sol1c.007.lane3.sorted.unique.bam","plate2","sol1c.007.lane3","lane3","plate2.lane3"
"149","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.007.lane5/sol1c.007.lane5.sorted.unique.bam","plate2","sol1c.007.lane5","lane5","plate2.lane5"
"150","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.007.lane6/sol1c.007.lane6.sorted.unique.bam","plate2","sol1c.007.lane6","lane6","plate2.lane6"
"151","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.007.lane7/sol1c.007.lane7.sorted.unique.bam","plate2","sol1c.007.lane7","lane7","plate2.lane7"
